Date	ID	Sp	Espece	Sexe	Age	DateChirurgie	HeureDebut	HeureFin	TempsChir	Fente_en_place	Etat_pompe	Pt_craniaux	Pt_distaux	Enflure	Pu	Croute	Pompe	No_Pompe	Tarse	Tete	MasseAvecCollier	Masse	Notes	Prise_de_sang
2022-03-28	76EE86EE	SNGO	Oie des neiges	F	A	2022-04-16	16:58	17:30	32	Oui	Intact	PeauFendue	Intact	Non	Non	Non	Fonctionnel	21Y0083	82	118,9		2462		Oui
2022-03-28	73EE94EE	SNGO	Oie des neiges	F	J	2022-04-16	15:00	15:46	32	Oui	Intact	Rapproche	Intact	Non	Non	AutourCatheter	Fonctionnel	21Y0084	85,7	127,1		3043		Oui
2022-03-28	71EE87EE	SNGO	Oie des neiges	M	A	2022-04-16	14:21	14:55	34	Oui	Perce	Intact	Intact	Non	Non	Non	Hors d'usage	21Y0087	88,8	131		3962	Collier semble serré	Oui
2022-03-28	70EE88EE	SNGO	Oie des neiges	M	J	2022-04-16	15:50	16:24	34	Oui	Intact	Intact	Intact	Non	Non	Distale	Fonctionnel	21Y0085	84	128		3137		Oui
2022-03-28	69EE89EE	SNGO	Oie des neiges	F	A	2022-04-16	16:26	16:55	29	Oui	Fonctionnel	Intact	Intact	Non	Non	Non	Fonctionnel	21Y0086	80,9	123		3161	Forme bleue	Oui
2022-03-28	79EE86EE	CAGO	Bernache du Canada	F	U	2022-04-02	13:03	13:39	36	Oui	Intact	Arrache	Intact	Non	Non	Minimale	Fonctionnel	2090234-1	82,4	122,2		4048	Photo 1 aile	Oui
2022-03-28	80EE87EE	CAGO	Bernache du Canada	M	U	2022-04-02	14:20	14:53	33	Oui	Defectueux	Intact	Intact	Non	Non	Non	Hors d'usage	21Y0090	93,5	130,4		4390	Photo 2	Oui
2022-03-28	74EE88EE	CAGO	Bernache du Canada	M	U	2022-04-02	15:32	16:09	37	Non	Intact	Arrache	Intact	Oui	Oui	4-5x	Fonctionnel	2090230	91,5	120,5		4740	Photo 3	Oui
2022-03-28	77EE89EE	CAGO	Bernache du Canada	M	U	2022-04-02	13:45	14:16	31	Non	Fonctionnel	Intact	Intact	Non	Non	Non	Fonctionnel	2090231-1	95,5	127,6		4257	Photo 6-7	Oui
2022-03-28	72EE90EE	CAGO	Bernache du Canada	M	U	2022-04-02	14:56	15:30	34	Oui	Intact	Sous-cutane	Intact	Non	Non	Non	Fonctionnel	21Y0088	91,6	122,7		3844	Photo 4-5	Oui
2022-04-02	76EE86EE	SNGO	Oie des neiges	F	A	2022-04-16	16:58	17:30	32	Oui	Intact	PeauFendue	Intact	Non	Non	Non	Fonctionnel	21Y0083	82	118,9				Non
2022-04-02	73EE94EE	SNGO	Oie des neiges	F	J	2022-04-16	15:00	15:46	32	Oui	Intact	Rapproche	Intact	Non	Non	AutourCatheter	Fonctionnel	21Y0084	85,7	127,1				Non
2022-04-02	71EE87EE	SNGO	Oie des neiges	M	A	2022-04-16	14:21	14:55	34	Oui	Perce	Intact	Intact	Non	Non	Non	Hors d'usage	21Y0087	88,8	131			A perdu son dummy	Non
2022-04-02	70EE88EE	SNGO	Oie des neiges	M	J	2022-04-16	15:50	16:24	34	Oui	Intact	Intact	Intact	Non	Non	Distale	Fonctionnel	21Y0085	84	128				Non
